lat_info;lng_info;city_name;state_id;state_name;region_name
42,26663;-73,2712;South Lee;MA;Massachusetts;Northeast
42,30433;-73,32013;Stockbridge;MA;Massachusetts;Northeast
42,23997;-73,19686;Tyringham;MA;Massachusetts;Northeast
42,30264;-73,39846;West Stockbridge;MA;Massachusetts;Northeast
42,66593;-73,24209;Williamstown;MA;Massachusetts;Northeast
42,51297;-73,04859;Windsor;MA;Massachusetts;Northeast
42,62375;-72,60379;Greenfield;MA;Massachusetts;Northeast
42,51772;-72,81556;Ashfield;MA;Massachusetts;Northeast
42,56793;-72,18324;Athol;MA;Massachusetts;Northeast
42,69512;-72,57731;Bernardston;MA;Massachusetts;Northeast
42,5814;-72,80309;Buckland;MA;Massachusetts;Northeast
42,61099;-72,88846;Charlemont;MA;Massachusetts;Northeast
42,68805;-72,73205;Colrain;MA;Massachusetts;Northeast
42,50734;-72,70221;Conway;MA;Massachusetts;Northeast
42,54384;-72,6058;Deerfield;MA;Massachusetts;Northeast
42,66766;-72,98822;Drury;MA;Massachusetts;Northeast
42,60756;-72,42916;Erving;MA;Massachusetts;Northeast
42,6706;-72,81323;Heath;MA;Massachusetts;Northeast
42,56027;-72,51321;Lake Pleasant;MA;Massachusetts;Northeast
42,56656;-72,47045;Millers Falls;MA;Massachusetts;Northeast
42,72259;-72,98291;Monroe Bridge;MA;Massachusetts;Northeast
42,54162;-72,52069;Montague;MA;Massachusetts;Northeast
42,63282;-72,51136;Gill;MA;Massachusetts;Northeast
42,45101;-72,33141;New Salem;MA;Massachusetts;Northeast
42,67575;-72,446;Northfield;MA;Massachusetts;Northeast
42,60449;-72,29263;Orange;MA;Massachusetts;Northeast
42,48858;-72,18564;Petersham;MA;Massachusetts;Northeast
42,69674;-72,91387;Rowe;MA;Massachusetts;Northeast
42,67815;-72,18557;Royalston;MA;Massachusetts;Northeast
42,59607;-72,72915;Shelburne Falls;MA;Massachusetts;Northeast
42,47292;-72,61516;South Deerfield;MA;Massachusetts;Northeast
42,46475;-72,55489;Sunderland;MA;Massachusetts;Northeast
42,59273;-72,54591;Turners Falls;MA;Massachusetts;Northeast
42,67711;-72,34057;Warwick;MA;Massachusetts;Northeast
42,54149;-72,3989;Wendell;MA;Massachusetts;Northeast
42,58675;-72,40264;Wendell Depot;MA;Massachusetts;Northeast
42,58559;-71,81693;Fitchburg;MA;Massachusetts;Northeast
42,66069;-71,9232;Ashburnham;MA;Massachusetts;Northeast
42,67652;-71,82322;Ashby;MA;Massachusetts;Northeast
42,56351;-71,57059;Ayer;MA;Massachusetts;Northeast
42,53149;-71,61663;Devens;MA;Massachusetts;Northeast
42,60579;-72,08958;Baldwinville;MA;Massachusetts;Northeast
42,56028;-72,03583;East Templeton;MA;Massachusetts;Northeast
42,58797;-71,98649;Gardner;MA;Massachusetts;Northeast
42,61368;-71,56139;Groton;MA;Massachusetts;Northeast
42,50005;-71,57754;Harvard;MA;Massachusetts;Northeast
42,48378;-72,00514;Hubbardston;MA;Massachusetts;Northeast
42,51961;-71,76583;Leominster;MA;Massachusetts;Northeast
42,53503;-71,4891;Littleton;MA;Massachusetts;Northeast
42,58994;-71,72036;Lunenburg;MA;Massachusetts;Northeast
42,67126;-71,60429;Pepperell;MA;Massachusetts;Northeast
42,57411;-71,6475;Shirley;MA;Massachusetts;Northeast
42,55324;-72,06879;Templeton;MA;Massachusetts;Northeast
42,66514;-71,69161;Townsend;MA;Massachusetts;Northeast
42,55122;-71,90266;Westminster;MA;Massachusetts;Northeast
42,67088;-71,7508;West Townsend;MA;Massachusetts;Northeast
42,66675;-72,04902;Winchendon;MA;Massachusetts;Northeast
42,19689;-71,84549;Auburn;MA;Massachusetts;Northeast
42,38378;-71,63552;Berlin;MA;Massachusetts;Northeast
42,0399;-71,53125;Blackstone;MA;Massachusetts;Northeast
42,35633;-71,72123;Boylston;MA;Massachusetts;Northeast
42,19364;-72,10441;Brookfield;MA;Massachusetts;Northeast
42,13509;-71,96803;Charlton;MA;Massachusetts;Northeast
42,4119;-71,68883;Clinton;MA;Massachusetts;Northeast
42,20328;-72,04669;East Brookfield;MA;Massachusetts;Northeast
42,0528;-71,75106;Douglas;MA;Massachusetts;Northeast
42,11342;-72,11632;Fiskdale;MA;Massachusetts;Northeast
42,20077;-71,67892;Grafton;MA;Massachusetts;Northeast
42,33685;-71,85181;Holden;MA;Massachusetts;Northeast
42,06012;-72,16592;Holland;MA;Massachusetts;Northeast
42,38142;-71,87111;Jefferson;MA;Massachusetts;Northeast
42,48176;-71,68079;Lancaster;MA;Massachusetts;Northeast
42,24919;-71,91989;Leicester;MA;Massachusetts;Northeast
42,09899;-71,64296;Linwood;MA;Massachusetts;Northeast
42,19228;-71,77397;Millbury;MA;Massachusetts;Northeast
42,03906;-71,57767;Millville;MA;Massachusetts;Northeast
42,31929;-72,12794;New Braintree;MA;Massachusetts;Northeast
42,32314;-71,64621;Northborough;MA;Massachusetts;Northeast
42,13991;-71,64433;Northbridge;MA;Massachusetts;Northeast
42,2695;-72,07794;North Brookfield;MA;Massachusetts;Northeast
42,23189;-71,69219;North Grafton;MA;Massachusetts;Northeast
42,16177;-71,89217;North Oxford;MA;Massachusetts;Northeast
42,11649;-71,85819;Oxford;MA;Massachusetts;Northeast
42,45649;-71,88128;Princeton;MA;Massachusetts;Northeast
42,20241;-71,90995;Rochdale;MA;Massachusetts;Northeast
42,38482;-71,96726;Rutland;MA;Massachusetts;Northeast
42,28419;-71,71558;Shrewsbury;MA;Massachusetts;Northeast
42,06039;-72,03377;Southbridge;MA;Massachusetts;Northeast
42,17496;-71,67762;South Grafton;MA;Massachusetts;Northeast
42,44581;-71,68845;South Lancaster;MA;Massachusetts;Northeast
42,24715;-71,99189;Spencer;MA;Massachusetts;Northeast
